epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,92.3472,0.79317,0.91743,0.87173,0.96188,0.80135,0.90541,0.75398,0.6701,0.61713,0.85696,0.00104231,0.00104231,0.00104231
43,94.5463,0.86645,0.79058,0.90079,0.97346,0.80423,0.86927,0.7142,0.73291,0.67786,0.86626,0.00103288,0.00103288,0.00103288
44,96.7354,0.84462,0.78125,0.89593,0.97633,0.80423,0.87561,0.70426,0.65088,0.62567,0.84548,0.00102345,0.00102345,0.00102345
45,98.9049,0.81896,0.73195,0.88148,0.88214,0.83654,0.90283,0.75512,0.69941,0.58858,0.85574,0.00101402,0.00101402,0.00101402
46,101.05,0.8059,0.70372,0.88751,0.85339,0.87831,0.90011,0.66773,0.86253,0.63607,0.93767,0.00100459,0.00100459,0.00100459
47,103.301,0.82813,0.72397,0.90434,0.96372,0.79636,0.88497,0.68737,0.83049,0.60555,0.86018,0.000995156,0.000995156,0.000995156
48,105.522,0.79122,0.67936,0.88341,0.8839,0.87364,0.90041,0.70442,0.81747,0.56498,0.85937,0.000985724,0.000985724,0.000985724
49,107.696,0.82072,0.68777,0.89877,0.97673,0.83787,0.91172,0.69944,0.84098,0.56274,0.87,0.000976293,0.000976293,0.000976293
50,109.834,0.79575,0.68262,0.88022,0.97382,0.87831,0.90185,0.68548,0.80833,0.54266,0.86865,0.000966861,0.000966861,0.000966861
51,112.037,0.82484,0.64551,0.89455,0.97988,0.82464,0.90659,0.70547,0.78659,0.53934,0.86677,0.00095743,0.00095743,0.00095743
52,114.217,0.83431,0.69932,0.89691,0.92427,0.85063,0.89466,0.69372,0.8259,0.52994,0.84972,0.000947999,0.000947999,0.000947999
53,116.405,0.80302,0.68522,0.9029,0.969,0.84127,0.89162,0.76971,0.58384,0.48967,0.84606,0.000938567,0.000938567,0.000938567
54,118.569,0.81694,0.66886,0.87562,0.98814,0.83847,0.89644,0.73121,0.70536,0.49225,0.85606,0.000929136,0.000929136,0.000929136
55,120.736,0.78136,0.63625,0.88633,0.91788,0.87831,0.90475,0.71067,0.72147,0.50737,0.85355,0.000919704,0.000919704,0.000919704
56,122.966,0.82489,0.7225,0.90359,0.90786,0.87831,0.91376,0.73568,0.80387,0.50582,0.85622,0.000910273,0.000910273,0.000910273
57,125.252,0.78734,0.63751,0.88992,0.91569,0.84127,0.90314,0.71815,0.78586,0.5038,0.8524,0.000900842,0.000900842,0.000900842
58,127.532,0.8205,0.67822,0.90959,0.98113,0.77611,0.89369,0.74526,0.64093,0.51042,0.8588,0.00089141,0.00089141,0.00089141
59,129.718,0.81818,0.63914,0.89732,0.96585,0.79749,0.89101,0.63544,0.87145,0.57559,0.86404,0.000881979,0.000881979,0.000881979
60,131.867,0.80258,0.62487,0.88987,0.85127,0.90132,0.90798,0.72178,0.77064,0.5326,0.85569,0.000872547,0.000872547,0.000872547
61,134.003,0.7825,0.63913,0.89985,0.86202,0.86808,0.90382,0.71772,0.70469,0.53842,0.84284,0.000863116,0.000863116,0.000863116
62,136.2,0.79069,0.64564,0.88197,0.90904,0.85417,0.94054,0.78192,0.7248,0.52068,0.84661,0.000853685,0.000853685,0.000853685
63,138.402,0.80092,0.6105,0.89454,0.94682,0.86752,0.94753,0.71783,0.78657,0.52493,0.86016,0.000844253,0.000844253,0.000844253
64,140.57,0.8215,0.6343,0.87813,0.97321,0.87831,0.91104,0.73469,0.66741,0.52077,0.85088,0.000834822,0.000834822,0.000834822
65,142.746,0.77792,0.61035,0.89234,0.93221,0.87203,0.91982,0.76049,0.70234,0.49732,0.85587,0.00082539,0.00082539,0.00082539
66,144.891,0.74755,0.59371,0.88937,0.96792,0.80423,0.89665,0.75989,0.70301,0.51435,0.86171,0.000815959,0.000815959,0.000815959
67,147.063,0.79989,0.63997,0.87207,0.95965,0.80423,0.89849,0.71734,0.76185,0.52838,0.85094,0.000806528,0.000806528,0.000806528
68,149.22,0.76964,0.62971,0.87806,0.98379,0.87107,0.91042,0.74142,0.73571,0.48893,0.85643,0.000797096,0.000797096,0.000797096
69,151.355,0.79029,0.61686,0.88147,0.97337,0.87831,0.91121,0.7101,0.78201,0.51187,0.85198,0.000787665,0.000787665,0.000787665
70,153.572,0.73827,0.61484,0.86344,0.97085,0.85771,0.92825,0.75503,0.7209,0.49761,0.87179,0.000778233,0.000778233,0.000778233
71,155.782,0.73919,0.6113,0.87417,0.87373,0.87597,0.90761,0.73384,0.7011,0.49422,0.85412,0.000768802,0.000768802,0.000768802
72,157.989,0.77165,0.62539,0.87902,0.90561,0.8983,0.92341,0.72193,0.75358,0.50808,0.85792,0.000759371,0.000759371,0.000759371
73,160.154,0.69471,0.56872,0.85775,0.9707,0.83426,0.89446,0.75183,0.66492,0.43566,0.84255,0.000749939,0.000749939,0.000749939
74,162.322,0.71565,0.57981,0.86676,0.97076,0.83215,0.89549,0.73793,0.69487,0.46969,0.86515,0.000740508,0.000740508,0.000740508
75,164.464,0.72471,0.57013,0.87403,0.97554,0.83742,0.9053,0.74602,0.67346,0.5184,0.84626,0.000731076,0.000731076,0.000731076
76,166.659,0.72599,0.60212,0.86752,0.91148,0.87418,0.90412,0.71547,0.76332,0.49703,0.85453,0.000721645,0.000721645,0.000721645
77,168.813,0.68774,0.54955,0.86863,0.9203,0.87831,0.8889,0.72314,0.66083,0.47257,0.84076,0.000712214,0.000712214,0.000712214
78,170.971,0.67795,0.56158,0.86661,0.92836,0.87831,0.89324,0.72495,0.71106,0.50703,0.851,0.000702782,0.000702782,0.000702782
79,173.123,0.75077,0.5949,0.86767,0.91481,0.87812,0.89314,0.69411,0.75913,0.51249,0.8554,0.000693351,0.000693351,0.000693351
80,175.323,0.70665,0.59472,0.86247,0.92375,0.86128,0.89153,0.71837,0.65018,0.47821,0.83479,0.000683919,0.000683919,0.000683919
81,177.619,0.67993,0.55606,0.85166,0.97038,0.84005,0.9037,0.73661,0.72319,0.47149,0.85437,0.000674488,0.000674488,0.000674488
82,179.868,0.73465,0.59421,0.86986,0.87227,0.87831,0.88456,0.71841,0.71905,0.50808,0.84152,0.000665057,0.000665057,0.000665057
83,182.098,0.68588,0.56643,0.86056,0.87126,0.87831,0.88781,0.72301,0.75871,0.5117,0.84818,0.000655625,0.000655625,0.000655625
84,184.322,0.73009,0.59478,0.85691,0.8744,0.87831,0.88439,0.69391,0.75609,0.49619,0.85832,0.000646194,0.000646194,0.000646194
85,186.478,0.70771,0.52399,0.84605,0.86993,0.87831,0.88139,0.7189,0.68582,0.49511,0.8567,0.000636762,0.000636762,0.000636762
